Time (ms),Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10,Cell 11,Cell 12
72,-21.06109749,-20.8904504,-22.50534516,-15.99063758,6.163460103,-10.61921858,-19.38745353,-30.11886025,-14.39084241,17.29863803,-2.119056457,-17.4439356
74,-7.038003056,6.123712554,-12.47931761,-5.956279811,-1.807677288,-27.60637939,-13.3485584,-16.06989618,-22.33861367,-3.659589442,-9.116658535,-41.40245825
76,-10.01490863,-21.86212449,-16.45329006,-30.92192205,-8.77881468,-13.59354021,-21.30966326,-24.02093211,-16.28638493,-0.617816919,-5.114260614,-32.3609809
78,-27.9918142,-10.84796154,-14.42726251,-21.88756428,-8.749952071,-12.58070102,-2.270768129,-8.971968038,-15.23415619,3.423955605,-17.11186269,-26.31950354
80,-8.968719767,1.166201413,2.598765045,-15.85320652,-7.721089463,-2.567861833,-13.231873,-17.92300397,-20.18192745,-24.53427187,-20.10946477,-11.27802619
82,-24.94562534,-8.819635634,-36.3752074,-38.81884876,20.30777315,-7.555022646,-16.19297786,-13.8740399,-29.12969871,-0.492499347,16.89293315,-21.23654884
84,-21.92253091,-14.80547268,-8.349179853,-21.78449099,-14.66336425,-1.542183459,-33.15408273,-36.82507583,-33.07746997,-17.45072682,-4.104668927,-22.19507149
86,-11.89943648,-23.79130973,-14.3231523,-12.75013323,2.365498362,-4.529344272,-22.11518759,-31.77611176,-22.02524123,-20.4089543,-9.102271006,-26.15359413
88,13.12365795,-5.777146776,-20.29712475,-17.71577546,5.394360971,-12.51650508,-14.07629246,-25.72714768,-33.97301249,-6.367181776,-21.09987308,-38.11211678
90,4.146752381,-2.762983823,-9.2710972,-22.6814177,-17.57677642,1.496334103,-18.03739733,-43.67818361,-20.92078375,-3.325409252,-6.097475163,-24.07063943
92,-22.83015319,-13.74882087,4.754930351,-18.64705994,16.45208619,-1.49082671,-9.998502194,-32.62921954,-38.86855501,-1.283636728,-3.095077241,-13.02916207
94,-10.80705876,2.265342082,-19.2190421,-25.61270217,-4.519051204,-12.47798752,-10.95960706,-24.58025547,-22.81632627,-1.241864204,-18.09267932,-16.98768472
96,-3.783964331,-15.72049496,-25.19301455,-14.57834441,-11.4901886,1.534851664,-11.92071193,-44.5312914,-37.76409753,10.79990832,-6.090281398,-20.94620737
98,-16.7608699,-19.70633201,-27.166987,-36.54398664,-10.46132599,-5.452309149,-18.88181679,-29.48232733,-15.71186879,-5.158319156,3.912116524,-25.90473002
100,-1.737775472,-13.69216906,-16.14095944,-17.50962888,-0.432463379,-16.43946996,-27.84292166,-33.43336326,-25.65964005,7.883453367,-5.085485555,-25.86325266
102,12.28531896,-20.67800611,-29.11493189,-24.47527112,-11.40360077,-13.42663077,-18.80402653,-25.38439919,-18.60741131,-4.074774109,3.916912367,-34.82177531
104,-2.691586612,-7.663843154,-22.08890434,-29.44091335,-20.37473816,-4.413791587,-20.76513139,-21.33543512,-38.55518257,-11.03300158,-5.080689712,-19.78029796
106,-22.66849218,-5.649680201,-22.06287679,-4.406555587,-10.34587555,9.5990476,-17.72623626,-19.28647105,-29.50295383,-15.99122906,0.92170821,-15.73882061
108,-14.64539775,1.364482752,0.963150759,-10.37219782,0.682987055,10.61188679,-22.68734113,-28.23750698,-23.45072509,10.05054346,-12.07589387,-14.69734325
