DataTable:,Function DataTable for [Raw Ci on CYm API F(t)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:, December 16 2019 10:10:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Description:,Table of function data for [Raw Ci on CYm API F(t)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integer,id,ID of each record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,240,2402.4024,6.463077513,23.73647674,27.67853287,-11.32174318,18.27459597,14.93484997,35.49681917,3.377568066,1.465522071,29.76944943,18.8555449,15.77044935,13.33199112,5.037967623,9.51932492,17.86457982,6.141476011,51.13101243,4.466478366,11.39957831,2.340058937,4.189643036,12.28566543,1.703691333,1.275963804,11.60672693,4.419393343,4.869081186,12.146459,14.91203402,11.51862808,23.19705904,14.4522331,2.515921944,11.29953247,7.887105777,-9.265575788,28.46260325,11.0840006,19.77805022
242,241,2412.41241,6.610564326,21.52818934,31.53015889,37.74903085,31.808146,15.3634996,31.75277011,9.671054843,0.39597396,25.24878099,19.17715413,12.24291542,2.819775541,9.759996032,30.83289751,9.600446006,4.254217314,24.39555765,-2.516887596,3.900053221,-0.612290302,4.781281787,21.55142024,0.557845201,-0.587168889,9.134445096,5.393655287,2.862675469,0.199132712,19.41496929,8.780281292,21.21684632,12.53797595,6.498450297,8.205742225,17.3420907,2.938626574,26.12648987,11.52391315,21.90141064
243,242,2422.42242,8.075868174,19.19960767,30.74142868,28.53438729,34.40015779,14.1568199,32.88352318,13.36840168,0.032205275,20.01410997,9.413940264,-2.458322383,10.17493131,6.797764052,17.74047421,6.828201648,6.972621268,30.17987055,3.183120891,20.34122253,0.312511243,4.799264007,32.59850531,2.984755305,-0.240637228,15.5239871,5.382305653,2.122441077,6.189509481,22.28228779,10.02318492,19.31569436,5.635498509,4.298623181,7.098575362,10.63671618,2.715194304,16.14332179,19.33399728,6.608074068
244,243,2432.43243,3.929539202,25.91370438,31.38470633,11.3949058,0.512722629,10.22462241,31.97892072,0.392496277,-0.163744879,38.59848262,17.31152323,15.50835578,-1.409353421,16.2645822,22.61849797,19.31359094,3.399727365,30.31571698,1.78406,-7.26608742,0.716854469,6.811826127,36.00189226,3.943034191,-2.07679705,12.53062993,5.338989369,4.534644752,9.017053927,17.29644925,19.08272696,14.82028483,18.53814749,7.457053157,3.846559826,15.29450721,8.034602797,41.0954169,1.100282168,14.14860071
245,244,2442.44244,-1.446797588,23.85446166,17.03787582,13.1840876,20.18454092,18.47571285,52.08957352,9.812340919,-0.178913542,36.8455542,16.35720141,5.031192205,-0.420315205,6.722443363,21.9555992,4.966073605,0.613241989,39.06134532,0.538091402,11.12673867,0.493265058,5.763124426,14.2121783,-2.32754021,0.468453446,7.786176328,1.755385353,-0.141115225,1.202732924,17.61583622,14.21359031,21.6463709,0.589491984,10.44211084,-1.504762721,10.3521558,17.7405294,34.46360031,14.99514078,15.87152777
246,245,2452.45245,-1.988288517,14.55684829,40.97733754,32.01315454,20.55057028,22.15561555,41.30972756,6.309290443,3.990943553,25.6575931,19.61395907,0.93962369,8.890038749,-0.213059556,15.82665496,9.106824198,3.90694143,18.08400317,-0.716911453,13.68624015,2.558517824,5.116246628,19.8304467,5.843068997,2.987556202,12.16053945,4.565925361,3.091238569,16.74072492,16.38868365,18.03296673,18.91263458,-0.154850084,11.32739454,10.42111269,16.10980044,8.718688083,29.94480083,8.814673111,19.67203915
247,246,2462.46246,-0.669113024,18.09510847,23.17391849,16.43342683,33.31061861,8.468960434,48.14450169,17.67964403,3.186879371,41.01326199,17.78036966,9.759049091,19.49092467,4.924546372,22.12726193,12.40280856,1.731207829,36.97491056,-2.261667697,5.803810461,4.552256507,9.061264524,19.15750856,1.813191735,-8.010373715,10.5141794,7.241402392,5.99689581,14.26219428,17.57355196,18.00390578,26.14286657,8.563118516,5.523035455,10.21715571,8.065904815,10.28369053,32.40606401,6.428821824,31.11113511
248,247,2472.47247,1.761042344,12.72475035,33.11608488,23.39567818,11.37184504,30.24207377,40.3883732,16.31983229,3.453500885,23.64839476,15.58647633,7.87706695,-3.334398126,8.439366135,37.93721822,14.59557634,2.51579576,35.84942426,0.504914692,13.0136059,0.251847169,3.723356795,32.13201138,4.686647352,6.484647979,15.80839976,3.01002889,5.619878778,13.5976173,21.15262608,16.23952163,24.26139199,3.799429247,10.68623535,19.80592839,2.472095835,7.055225156,30.89220747,15.4546456,19.11595796
249,248,2482.48248,5.333876864,13.2126757,17.24100448,21.91983774,30.31708785,12.51971568,33.08454595,4.153216126,0.851378493,31.48742212,37.72369924,9.399912439,-3.615141517,16.47924186,23.98355136,15.38052529,3.537270846,16.84628152,2.906685136,-13.60083188,-2.817458577,5.156975165,26.67115861,3.856403472,-1.823747958,14.25951968,7.224121602,1.628418002,2.709602317,8.925793396,0.189978981,21.18492344,11.02432524,4.267330747,14.33313186,13.39789439,-1.258831452,24.16481933,4.853321717,23.68569427
250,249,2492.49249,-1.863177,2.096689514,26.97281569,39.74220527,32.1588937,15.54914459,49.45952563,5.660362443,3.296315845,32.53361823,17.87888293,2.720182993,-12.84310832,-6.22020442,26.87717733,11.88239183,3.050378987,51.69543965,-0.199371417,-11.57694806,3.735508363,9.707372472,18.74566082,-3.190156765,0.051085737,11.07297451,9.164652574,4.022862079,9.837804197,28.72714089,19.59935566,17.83385567,3.174036749,5.515778403,9.792388079,3.934138466,3.5822105,39.57288476,10.0131754,24.87974679
251,250,2502.5025,5.426235848,21.74707726,21.27532373,18.12588015,22.59057626,26.56367957,25.87285413,17.96999674,-0.103775735,15.72975263,23.06923541,-4.000553473,9.896790772,14.26954793,-0.292327615,20.87277988,6.758217381,52.81834985,6.028832041,3.522533269,1.105441901,0.912985918,4.585506658,0.907667116,1.937777612,9.632208604,4.368897868,7.93944138,10.85571338,13.35378536,10.65762241,15.40755745,6.979929422,11.00920132,1.014731643,4.934099934,12.37888966,23.95995337,16.85508675,18.0194882
252,251,2512.51251,9.181107816,11.19184287,14.62290559,31.6160171,23.44821903,24.76367191,37.5656785,10.85506986,2.438929898,37.76840563,14.79332937,3.360805935,12.78696063,6.252464256,27.42296287,-2.111058941,0.718091215,17.08916537,-2.139230523,-8.293944328,2.759297682,5.016618442,18.61561221,1.983913857,-0.168371544,12.70388337,11.09862471,7.040842806,13.15830845,11.43793934,12.47886291,22.71457972,7.820234641,4.667280907,9.884298923,15.18660081,6.542402692,30.66434036,8.095558927,7.763025763
253,252,2522.52252,1.579655953,10.78760365,53.78040163,6.078065822,28.35905951,19.54960656,37.2390165,7.191381488,0.996136745,34.90328025,18.58877018,-15.76502045,-5.08887635,9.300861365,18.93521075,10.43265717,4.35340555,56.65449377,2.494674151,0.261488951,2.94515261,4.529677031,15.58170381,0.68692984,5.505672409,15.30233671,5.602165058,4.982614733,12.77838591,14.13965004,11.35790108,30.329114,3.245232175,11.60767784,14.38317548,15.15792031,10.95925314,29.63507104,13.07349581,25.82447666
254,253,2532.53253,-0.065589651,20.46671908,24.82415485,32.44028026,22.00035249,28.01066619,31.40098026,4.29252,2.532818695,35.77293689,20.41417193,21.77019939,-1.519068091,1.59500356,39.27506745,22.75927536,2.403258876,30.35767596,-1.217964233,-3.230079266,1.148762014,4.091641805,-3.969566903,0.165196137,1.912790765,3.936327933,4.507657735,5.556476114,7.045588343,9.266124786,14.98698743,7.640896648,10.76558833,5.039569818,12.1602791,0.497745218,10.80416442,24.44881766,10.58235874,11.67409865
255,254,2542.54254,4.056760688,-1.188892554,29.55219031,10.96695133,29.74600189,13.85504993,37.95097214,15.88947184,-0.68858774,28.36094946,35.98015309,11.01549762,-0.467567997,-1.920801652,33.37051913,13.27893315,3.822754646,29.01278631,-1.613039665,6.089378377,-2.587700468,9.033288641,0.376321681,0.699197901,2.341896243,13.8954121,2.303217924,4.69789906,12.95469585,19.56037877,19.84856045,23.5653063,10.05627911,7.197082587,5.32048325,-1.341878856,8.876655408,22.19830317,0.738634672,23.50232049
256,255,2552.55255,2.513590164,12.0428753,49.91927587,26.98158847,25.47236712,21.7804857,39.91932008,16.11913205,2.312802172,37.80844321,25.33090552,7.752431758,2.272715609,8.400506607,14.39991315,23.9114094,-1.044212932,15.65805784,1.605178747,10.1995561,0.605807716,9.513896883,15.19341666,0.742596466,-0.173971661,6.510134528,8.350938893,5.436795994,7.244686606,13.51070547,14.61254984,18.21298323,8.758579039,8.262928936,10.30713266,18.36548677,10.91452233,31.43982821,8.117110743,0.215091821
257,256,2562.56256,5.449442317,25.08153213,14.4892063,28.85074011,28.57888719,23.29862705,36.65270009,8.928520231,-0.467318291,29.34114424,16.85329887,5.091742114,8.142075334,7.771268882,16.35739549,5.95259537,5.723843548,13.76476099,-0.113984357,-17.72128679,0.373648193,1.096220162,28.01711804,-1.144480014,-0.143553578,5.450426801,1.550103175,2.530833721,14.04668886,6.972724186,13.48234593,15.94912617,10.01119263,2.866484923,9.185397179,21.45383466,1.685949802,42.04959184,11.30394109,8.108358213
258,257,2572.57257,6.940525109,27.14068706,31.17056151,16.24592326,15.49571243,11.58145138,39.86068844,12.93568967,1.154068229,19.82441848,13.04622386,4.908155553,6.513487494,4.184465086,18.68923703,11.95105445,5.325557883,19.6038154,1.140647176,-11.69472501,0.813454185,2.511333344,13.69673763,4.153731362,2.387543902,10.85630574,7.505846109,2.042176704,12.25739621,19.32235797,6.270334343,21.9644099,0.963160681,14.65532622,8.008033081,6.976063342,9.327317343,52.89310486,17.60226206,11.24595187
259,258,2582.58258,-1.029102145,17.31497194,7.923109112,24.91021553,25.04515004,23.2554666,38.97283788,17.78438538,1.919203747,27.0592889,26.12978496,12.16560179,14.47882342,5.274516439,21.43287631,15.960184,6.778882012,36.95914085,3.294453744,-0.570886042,-0.215420164,3.051422055,18.60812747,-0.244736016,-6.900085181,16.47132367,10.36780302,6.578655366,18.71456321,19.93510235,17.87432377,14.97992349,16.64588846,4.804483939,13.08966053,0.543624917,7.313794922,37.08903431,5.558740722,4.04635248
260,259,2592.59259,7.622680382,8.794695587,18.60818114,14.50177505,18.8734784,13.04916142,28.42751848,9.745587966,-0.18634857,19.57276225,25.12567029,15.50487474,8.559217859,11.73760265,56.22383463,10.59567897,3.702277395,15.81718912,-2.577031827,10.91144833,-1.066847227,4.869680915,34.96621415,1.793145726,-6.287896728,11.40607143,3.017751014,2.991152138,15.85904188,18.06778865,0.143662175,22.62288516,13.18399684,10.69796918,6.501142074,14.78056875,8.810423368,14.81570047,13.6061565,28.1862808
261,260,2602.6026,6.384228512,20.67588607,23.60264862,24.60282675,2.931733181,23.97716574,50.99232424,6.316373593,-4.052315068,28.21994503,15.76546252,11.81026515,9.951825178,12.86407298,33.20974403,14.11061954,6.124106242,49.51464778,-1.406546737,-3.599112022,-0.85314242,6.394502555,21.63546139,1.137663152,-5.259904641,10.16912706,6.516230411,2.290298356,8.709183322,15.66941117,17.02152258,3.897288438,9.929471602,10.7076522,7.23899539,12.73603654,-5.107542898,37.37626606,11.24468538,5.565491355
262,261,2612.61261,5.026827445,24.03352936,28.67334788,15.11789114,29.11575655,6.818425776,28.72067668,12.38380932,2.431906962,27.71455766,11.1352838,8.252964688,-4.69046754,6.167571612,33.22029731,25.01891456,1.012171031,41.918019,-3.544671505,2.66203771,3.815900777,2.91238666,12.39045831,-4.4447841,0.490463104,6.881556604,7.896552843,5.818146392,16.14037919,20.69628418,17.5655373,12.97462321,10.95980812,6.874014525,4.111385548,11.01706646,4.112919235,30.29281101,5.85051484,29.766793
263,262,2622.62262,0.756190825,23.62862577,24.74992422,37.61882968,27.67659957,18.20536445,34.51683318,8.838185606,2.522121195,25.95770433,18.60289526,7.061922373,4.041260246,0.669644623,23.34706474,7.488222578,4.584604057,51.04740588,-0.14049634,-16.9050843,4.415790789,9.027782189,21.67034836,2.56583755,-0.058403433,6.901218779,6.891121773,2.277217771,17.51116285,24.7217699,14.75933172,22.23426121,8.136132801,14.74015109,14.80124126,7.111953278,19.86701309,34.01723827,9.656743723,11.26013552
264,263,2632.63263,5.942147567,15.16847389,56.93591088,32.21905055,22.9572781,23.60578335,48.00211056,9.133194552,3.305801057,22.20399786,20.21330434,-5.466681265,5.340916742,-6.202431954,35.59995249,20.28838427,2.993788985,32.15384421,4.002228562,7.258490857,0.934964031,1.265712807,8.037994366,0.404038487,-1.605272643,9.409281058,2.408324854,5.92845597,13.00257562,19.29072608,18.08185434,6.994686687,15.26028356,1.305607022,8.064215397,9.999298967,13.74571089,28.40586859,2.272241662,26.00652381
265,264,2642.64264,1.188736328,10.05865856,4.891568285,8.25979475,32.90461613,24.05249264,52.49161905,13.62086249,-0.991383572,45.20576825,30.15002964,14.03647738,12.93469995,-3.930064078,23.33060622,4.460336784,5.312468742,9.640874517,2.970386945,15.01256455,2.490382178,7.856952421,4.612945971,1.146827781,6.070091353,9.776326647,9.678430492,4.930636083,26.32731895,27.22811829,-1.118486939,13.87751681,9.217053172,9.949621724,6.92582935,8.200709596,16.99407499,21.66859368,10.59363635,29.57438762
266,265,2652.65265,5.211970245,11.96749192,25.19986488,9.367736502,15.15848615,5.94682545,38.09336326,17.19976046,1.880521348,39.56113197,17.76199498,17.75622509,-1.989230648,4.921875931,24.27702056,8.002065348,7.241162313,36.09949762,4.383927605,8.320850516,-2.633348879,4.947171191,19.79761596,-1.678977224,-3.663344435,8.557105721,13.73649302,4.554167871,15.80158246,16.00676778,17.33910723,23.26450513,12.73888044,14.19205679,12.62993672,4.940698612,9.667361284,27.80899463,-1.604523484,27.28874382
267,266,2662.66266,3.684593556,24.93271879,7.068803051,25.21618566,7.346302417,37.01435069,41.52750223,21.78538288,2.4268293,38.60655024,19.40872134,5.834732689,1.870488144,9.065332439,34.09633112,19.50481849,3.975989295,59.65162512,-0.165213484,24.69968561,0.597948724,6.417799381,20.10487858,5.521335449,0.551172024,10.7922237,4.53967778,7.45086813,16.31089537,22.7288234,19.32971336,19.0300725,19.39323486,6.288469124,11.96806596,10.87167635,9.558336582,24.24120921,0.578421892,30.26133267
268,267,2672.67267,-0.905004768,21.03355752,17.10343095,12.44536102,15.53624697,21.27066638,39.92769603,12.10097525,2.109757059,29.44878624,15.2147724,9.176077034,-0.141796842,10.28786453,18.98158449,19.07250877,5.343874445,21.94811744,3.710195588,2.303850406,0.116527963,4.697628408,13.09360656,0.091626148,-4.762931463,12.76503166,8.13203928,4.885698536,9.097173621,10.73395625,8.010117781,18.9538726,11.0348601,0.167853738,4.429297961,-3.755669906,5.539523236,27.21181634,6.814625591,10.34343861
269,268,2682.68268,2.167814572,14.44893951,29.16203123,32.78957281,37.80711939,9.696428818,37.98447593,3.145998102,1.309766204,29.8378628,17.83987227,19.46688075,-9.774798422,14.781807,38.0481512,10.33267651,5.527304091,29.7613193,-0.954589273,-6.7047776,-2.400873726,5.064562579,17.83063229,-4.889573676,-4.28507397,11.60961574,1.141699649,5.981151999,8.614154878,12.37119254,23.83013273,24.13642513,8.78655137,-1.152757167,8.897719724,9.750003263,11.64989875,12.85324074,13.98263366,5.636120854
270,269,2692.69269,-0.699876966,21.59000188,28.63655888,13.92092828,27.20665443,12.12246051,40.15384664,8.631771604,-0.5428633,18.26347487,21.09298617,-3.303093322,4.72080219,11.15441556,10.46633855,7.610874465,3.585162451,32.80348539,5.088458592,19.3393245,2.544987835,1.374925654,24.94276505,2.463104766,10.60874721,12.83980277,9.929584252,4.416761264,15.23685319,19.52744381,20.37855975,25.2507707,10.48465775,11.49747517,15.73844793,2.24862102,12.17564368,12.04783867,2.283621982,21.40796546
271,270,2702.7027,1.503437874,12.63156365,34.29787478,19.87311998,22.20572022,-4.874122358,36.04963178,16.00335235,1.60286814,27.55796658,9.990686032,-0.275133205,-2.076613058,-0.685912317,30.35650214,21.49896597,4.380955413,25.37131635,-1.023509471,4.010069859,1.740878549,7.404404762,0.141751678,-2.581479836,-3.795453497,15.36736077,5.862849516,9.547585488,18.52676615,24.44949072,14.48729682,21.02065791,22.01979008,-1.521154278,14.53385394,20.71999321,8.280384262,23.30605178,15.44756239,8.133238787
272,271,2712.71271,6.748216462,3.105408168,51.76005139,-14.22928237,22.42944842,16.66836805,48.58842697,14.81795381,-2.28503879,40.67158675,16.04014951,12.66859578,3.669351408,-13.02623891,25.38748574,20.12905848,-1.222519933,42.45236018,-0.892130123,13.40347137,3.401110834,9.159217556,17.12660143,0.897036128,2.552378044,12.26411584,3.252990009,3.598450974,13.34084622,17.0075526,25.32898813,23.39144835,9.526981085,8.999962318,5.671041011,9.849022463,12.00205079,13.89223615,16.7277741,26.99833276
273,272,2722.72272,2.605986428,27.80584966,51.44418426,3.404243522,9.603005285,11.31949651,35.9658723,13.7090665,5.817700114,38.02615243,20.98228623,19.72062824,16.07775039,-0.641829449,10.27261469,5.651831273,2.179061393,16.92317058,2.738454347,12.8958484,2.962102396,2.560322538,27.76369447,2.696928456,2.663956656,11.32492827,3.154473194,2.550917058,14.2843145,18.24506477,5.422993371,20.76704717,14.5910411,7.16308092,9.72624922,12.88866417,7.103435548,23.21040774,3.01859799,17.99677268
274,273,2732.73273,2.298493275,10.01057287,15.64875996,30.15300366,17.79255541,37.08876614,41.37673515,15.85279243,1.324325384,20.14931927,17.78979244,5.531336933,8.447775143,-6.146206442,29.22674181,10.53515233,1.811341811,25.44925239,1.518725617,-8.783574272,2.520285162,8.600375913,26.02572516,-3.359081168,-5.868097825,6.862279471,5.975895817,5.423245428,13.23248586,17.80064765,20.67957135,23.92859353,11.90490778,1.865573738,13.35295922,10.46801167,3.307388647,44.58353448,8.353952274,19.65541392
275,274,2742.74274,4.70516956,29.79280718,36.31853383,25.75727697,29.05127488,20.12068859,33.20180923,21.62082419,1.459957561,10.44428345,19.07281108,14.00017388,1.584317382,8.193043567,24.48228222,16.81208399,5.971932925,31.6720722,3.9453169,18.3122115,-1.496165351,2.320032064,9.617699104,4.222823198,5.792655611,8.838631866,2.763003429,3.46355191,21.77292033,11.1278363,6.013093517,37.37042537,6.698412103,15.14334372,3.314235998,16.61488955,9.448217335,37.04876033,7.774050903,-0.519631713
276,275,2752.75275,5.164644757,13.01106263,42.43740129,33.65896587,19.05957724,31.71741607,37.27252029,6.202202017,1.995445905,24.31702122,24.50741188,6.461500354,-0.688810737,10.07946636,32.8038299,13.0000317,-1.723282018,15.24620635,-0.402907405,-3.191119323,3.257346837,6.175167848,22.19634766,4.371756172,3.945065472,5.83818393,1.207873814,4.068098279,10.88545413,10.81136052,18.14692676,23.19380727,15.82546966,11.82438497,16.3293747,14.8036668,6.596307298,20.93162937,-0.685588506,5.740501552
277,276,2762.76276,2.870173719,10.95404105,30.5681754,7.131336462,19.04868491,7.624769347,28.19299192,11.78696445,1.1179269,27.46599111,26.55395236,-1.327821373,7.353628707,5.106054131,30.5676998,13.50300646,1.644444744,32.16269948,0.172685665,-7.420970351,3.713154273,5.478061583,24.48286513,-1.072241714,4.547120081,9.757048038,3.823489997,3.165805482,18.22942612,18.24081412,22.47238732,16.37373868,8.825741083,5.709049973,8.789498322,12.62108341,16.62928816,27.29636256,8.28428094,13.62677628
278,277,2772.77277,1.192176268,5.816130951,36.82041646,45.23260167,32.5798476,20.87581391,23.87937834,18.95860823,3.615901126,13.06305416,23.37131858,8.107168975,-3.27687271,3.192058284,23.87636533,20.19477608,5.178152702,40.35971885,3.493895642,14.047813,3.241737156,2.371333576,9.304804946,0.931179787,6.663882937,8.323370482,4.167064293,5.750530663,15.95312714,20.48585089,13.12257762,12.39611185,10.83102127,1.3912535,12.38583065,8.629610077,7.345393013,15.69971726,2.491813662,17.95268784
279,278,2782.78278,0.459531881,18.99320863,48.07552718,10.45148527,30.01503365,15.15370775,35.05289389,6.743061878,0.999956067,44.76035316,21.63313537,10.05766799,5.235600029,0.513725261,38.74957477,10.43321453,2.836329737,19.93055611,-2.191952586,3.203368374,1.36354193,6.789551517,34.9559675,0.824237185,2.895130245,8.518496114,-5.317029262,9.0773371,7.777138527,17.07258402,8.690323978,29.91923889,13.18267686,8.989258387,8.776513935,15.66376318,2.114516619,30.08366642,5.647029628,23.412254
280,279,2792.79279,1.364868608,26.48255985,26.86816827,18.35248063,5.965510045,23.36492966,41.62801361,8.12261867,4.121995456,23.43119979,8.590432505,3.314019043,18.21563326,3.789450433,15.51038042,4.982065794,-0.093693857,55.10855563,3.486044251,35.8191715,1.152473753,3.890344385,21.73360048,2.85899523,1.71501425,13.13035473,9.149035038,-0.757680209,8.456317488,18.16998831,11.6108616,21.60319936,-0.822114394,9.798923443,4.078347262,11.47757731,11.41416193,20.16695378,9.686666253,11.87579359
281,280,2802.8028,-3.643360633,9.458730832,31.28680202,21.42870624,38.52104741,36.52020616,32.92540293,-4.177864175,0.300400301,23.45346617,19.02935533,0.743884554,15.79257912,-8.491670327,37.23478428,9.490323802,5.589744817,38.51813911,-0.398450695,-8.261708008,1.771864632,2.545561347,14.79772727,0.594578437,1.061462371,6.718104391,13.69798017,4.523568804,11.37434759,22.81603765,22.27073592,3.641668421,16.45323429,1.513582836,9.13733467,5.802173284,-3.452321142,32.81004753,-5.083459793,24.855865
282,281,2812.81281,1.168752995,33.70154941,18.21382589,-9.452190818,7.536328233,7.722306313,35.6057065,-0.65308905,-0.875513517,45.43326979,12.23385118,9.993162073,3.895292798,12.96040545,31.21724527,7.675595531,3.109323095,21.32448254,-4.430086985,19.16819216,0.299498252,3.294492399,14.98717539,-2.585570862,-2.320972298,12.73544819,4.360582004,3.539495861,17.03463432,14.69904146,8.14860749,19.32175446,1.855897392,10.95965866,7.039061273,17.59745157,11.38510887,32.19426427,9.159459618,6.593694745
283,282,2822.82282,6.266876079,8.793675579,46.19599381,9.041869564,13.33550424,27.48556358,41.46049464,11.90618292,1.544435664,29.74944329,19.01035055,-0.497656715,18.28255622,5.170209214,14.97897523,16.24025701,6.027421877,51.40239685,5.857929403,14.97275259,2.598853698,3.504133438,22.64124585,4.703154925,1.632666297,15.01310227,3.780977023,4.145412002,12.73843144,18.36492352,7.095845533,12.07762334,6.960951384,1.012852736,5.757567335,7.557706027,21.09800628,25.91461987,8.409043219,24.17012972
284,283,2832.83283,2.400383242,25.11082684,15.68854818,6.9439676,24.57020675,18.21533439,40.30461372,4.553176427,1.124809097,23.97534321,32.17619535,18.55168361,11.29595598,7.843535815,18.77027145,14.69747634,3.174737217,35.96358866,0.262019022,-10.51795237,3.101666722,7.860227209,21.42165201,4.095596211,5.885921786,9.375375217,5.520925928,8.699735559,12.6245019,12.59565898,6.858966088,21.56093411,16.49390607,6.413935801,10.23268759,13.96410542,9.405344832,21.70469378,11.41770752,-0.073889189
285,284,2842.84284,3.033519035,17.66928044,23.37192435,-10.88023921,7.549139651,-2.970509415,38.8220708,21.11416327,-0.251529877,21.0964838,25.18562984,14.04400308,3.782305017,4.98395675,27.24135444,4.57488201,5.193612684,20.52477401,2.424138801,2.630497834,3.996878894,2.30686727,29.76374933,6.680456248,0.385782859,20.50244654,7.253929752,1.326661824,12.24625251,3.623040819,13.73006689,17.22292922,9.644225417,11.95234236,5.208004076,1.19014516,12.44525852,44.55789041,8.76185987,2.158312425
286,285,2852.85285,2.801982683,36.45171566,39.95365015,16.03068696,24.71131847,20.4935137,34.21529902,1.103578924,1.062534722,27.17207827,16.5390394,6.047071865,10.21639414,3.477369258,15.98233095,12.05445207,5.939400183,35.46698984,4.317522389,2.132758938,3.402327186,4.389483572,18.33684955,4.880968695,7.407846418,7.142526079,1.286394843,4.287974612,14.6841547,26.58953464,14.03403648,18.15246345,5.912973571,2.864924076,7.084166334,6.766460708,10.81343205,43.3702323,10.01119528,16.44609685
287,286,2862.86286,0.839593002,16.85945221,16.32014106,17.11445053,9.213024264,6.565938686,43.17756412,14.30323176,1.708311847,42.82589801,12.77122157,-2.574006922,-1.240926528,5.773488246,27.86026828,10.34500391,1.512270605,37.02838148,1.27652741,10.80083335,2.59478086,5.564030672,6.740299158,0.743499442,-0.016627002,10.74059175,6.85799127,7.351227183,15.27916898,19.91832968,13.37578105,26.75706094,5.282019568,6.687659763,14.57604896,9.888587113,14.46154575,23.41579548,8.954395413,27.46080328
288,287,2872.87287,3.395059157,22.77312184,25.85534202,7.275976585,20.42403764,21.64306956,29.08084248,10.31241797,0.243029186,27.05183993,18.44364354,7.29430573,3.186851152,4.714226057,7.466206207,2.82485756,6.602654596,47.52859161,4.405322738,18.1988181,5.188918366,3.720932994,23.71572212,0.321972426,2.834431159,9.891794162,7.217774062,3.667179932,5.715408567,20.63675055,17.99585897,20.19599537,18.46889048,3.360402462,3.39435288,18.18496065,16.17657929,41.78277182,12.53131546,13.07642294
289,288,2882.88288,3.921699399,24.45079588,40.41250988,-10.22043295,7.994848613,4.550031414,39.81880869,17.3266619,4.483324092,8.690503584,21.1775411,-5.830538528,9.995112691,18.29818211,17.62192544,4.285700019,2.576781913,38.50596286,-0.036318391,-8.897674521,4.063537811,4.920594059,7.072068823,-0.146663693,6.374934945,8.511287097,5.495032455,3.247412015,15.86189904,16.63039187,8.48110942,23.90423214,11.85036776,9.488559498,15.76178449,9.294454725,20.38907541,14.71814212,3.569022425,14.50796995
290,289,2892.89289,-1.93595931,20.87783716,64.23084226,17.36730473,8.967139586,-9.195982442,44.48421211,19.84698026,1.887577046,36.17440232,-1.051039219,9.640183995,10.09294688,11.11441429,21.26332422,9.406216547,2.919681476,27.01555389,4.173268046,-2.628817007,2.3245146,0.903153103,4.113556589,-5.121532997,3.438123234,8.943909158,6.447377632,3.660974536,14.39020142,12.69513327,11.08654437,31.25009661,4.713970839,8.021734166,11.22037255,1.432393145,15.76220115,24.58062975,13.77169654,27.59495446
291,290,2902.9029,0.635921955,20.99347712,27.45905909,16.33577353,37.96077764,28.97579396,51.71265583,8.486664949,2.249917975,23.42896978,8.587833892,8.587725968,13.70912604,3.352132414,6.110578966,20.27247372,3.165887806,37.68026288,4.74999207,8.784357039,3.897386797,6.680170164,22.43204577,3.813187905,-1.249199134,9.599849139,3.524376785,3.560667938,12.9663885,21.51190715,12.28308058,15.38617997,10.94413511,3.492351729,11.74391334,14.06895959,7.639385765,10.63608895,7.401552046,18.65844119
292,291,2912.91291,3.745029473,18.32484116,-9.102818602,23.7419838,-8.722204311,12.48509159,36.5856925,0.640527568,2.607672867,26.28370637,9.774757066,6.990639733,4.647095914,-5.321049983,15.77952673,8.311825274,6.876815091,49.00303841,5.482811681,3.840947665,2.377902258,1.32375671,12.5225749,3.230392712,-3.858244216,12.78318125,4.61596246,8.041424432,5.446144092,21.64534199,17.70998379,10.26823789,9.414036631,8.478255867,3.620131968,12.11175914,16.63482395,32.6054195,12.08572768,14.05162007
293,292,2922.92292,2.989926335,26.62939508,25.46583669,38.51836537,12.72707817,19.75854004,43.00166919,7.695335751,4.017319279,41.17448441,15.2190356,11.3695048,9.856198099,0.675158267,21.40509433,6.425967121,3.482637246,42.00944223,0.053294197,-0.549942278,-1.089132044,5.545027843,2.664941579,-0.861518388,-4.928690775,10.44382468,4.477846501,4.982190912,6.387581653,11.23195737,15.15242459,18.27743475,17.99092105,12.65891616,10.48936068,17.97552802,5.057257932,30.70710018,0.582083917,22.68029956
