DataTable:,Function DataTable for [Raw Ci on CYm API F(t)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:, December 16 2019 10:10:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Description:,Table of function data for [Raw Ci on CYm API F(t)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
integer,id,ID of each record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 970,Raw Ci on CYm API F(t) for Cell ID: 970,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 976,Raw Ci on CYm API F(t) for Cell ID: 976,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 979,Raw Ci on CYm API F(t) for Cell ID: 979,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 1006,Raw Ci on CYm API F(t) for Cell ID: 1006,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 1014,Raw Ci on CYm API F(t) for Cell ID: 1014,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 1019,Raw Ci on CYm API F(t) for Cell ID: 1019,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 1022,Raw Ci on CYm API F(t) for Cell ID: 1022,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 1045,Raw Ci on CYm API F(t) for Cell ID: 1045,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 1050,Raw Ci on CYm API F(t) for Cell ID: 1050,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 1069,Raw Ci on CYm API F(t) for Cell ID: 1069,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 1144,Raw Ci on CYm API F(t) for Cell ID: 1144,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 1150,Raw Ci on CYm API F(t) for Cell ID: 1150,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 1157,Raw Ci on CYm API F(t) for Cell ID: 1157,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double,Cell ID: 1165,Raw Ci on CYm API F(t) for Cell ID: 1165,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,T (index),T (msec),Cell ID: 27,Cell ID: 36,Cell ID: 246,Cell ID: 269,Cell ID: 287,Cell ID: 326,Cell ID: 352,Cell ID: 365,Cell ID: 374,Cell ID: 467,Cell ID: 519,Cell ID: 525,Cell ID: 568,Cell ID: 600,Cell ID: 615,Cell ID: 618,Cell ID: 622,Cell ID: 631,Cell ID: 639,Cell ID: 641,Cell ID: 653,Cell ID: 655,Cell ID: 678,Cell ID: 688,Cell ID: 701,Cell ID: 957,Cell ID: 970,Cell ID: 976,Cell ID: 979,Cell ID: 1006,Cell ID: 1014,Cell ID: 1019,Cell ID: 1022,Cell ID: 1045,Cell ID: 1050,Cell ID: 1069,Cell ID: 1144,Cell ID: 1150,Cell ID: 1157,Cell ID: 1165
1,0,0,100,100,92.13011069,63.93135933,59.1410869,100,3.905500091,100,29.01956544,100,100,100,99.63883444,100,30.02833944,50.65862198,24.31965383,45.42238838,34.20622983,89.40247216,36.09853774,15.09386422,86.58715274,47.28535599,63.38055495,41.82149386,59.97737185,26.60650196,100,76.76144798,80.89435104,100,46.17742609,100,100,100,95.50212257,87.95024855,100,100
2,1,10.01001,62.76039771,24.81300696,50.74910261,76.40632864,67.35053708,90.11236088,3.804336381,74.45510488,24.9414702,64.61836458,59.28179019,79.59631367,80.72307753,75.08466577,14.06183605,53.21825937,18.35772878,39.36301166,25.19896135,76.80449036,23.87226435,10.56489527,56.42332774,34.96400822,47.91289552,24.81405834,43.29268959,12.44619593,63.93453392,78.40595525,46.08033158,77.85258291,22.57780964,76.27812327,64.13321276,54.96230167,78.33016017,49.25305501,71.92319122,65.59335653
3,2,20.02002,47.36384479,35.24452004,68.81213108,64.71700975,60.7994633,99.36034668,-10.22555051,96.8346851,18.46257945,59.68775725,48.76841133,71.06504637,49.09017914,65.06378378,31.34066141,49.09480996,14.27480879,54.19744583,17.96154186,100,11.29827272,10.66086674,48.49785704,30.71414949,41.27979133,8.395047884,25.95818103,15.76335672,50.96270924,58.0910808,58.54057286,40.37035947,41.55599112,46.74516897,65.80958018,52.79029322,53.06852816,44.93685397,49.31523131,57.2268386
4,3,30.03003,37.84423572,31.65699567,43.22267858,35.53571781,49.51559496,56.39398997,-5.649795101,42.82041316,19.5779483,40.92825592,41.60009362,47.31904587,68.72087062,51.08554211,13.6518929,24.45654725,14.94419771,43.03798945,26.81965525,81.36352033,24.286746,5.550310515,27.57998464,29.08981847,40.10309187,23.81125349,21.90176027,14.22788144,42.56290393,34.6689779,41.442766,52.62677423,21.50162983,41.26967249,43.0769443,54.37285124,54.76963431,33.75300207,42.80012045,52.37429171
5,4,40.04004,39.46918876,1.193141596,60.23504629,37.06736162,39.70768973,77.24186001,8.361562889,41.85171246,15.39595856,32.04513475,48.10955185,40.72024216,50.42480878,41.19003057,38.26856714,28.01681128,14.44363438,35.22373056,17.1968082,80.43555333,12.44305526,6.74997595,32.76944069,19.85404682,30.63890384,23.77775531,21.38685063,6.547319553,36.80647529,42.45191918,27.00330967,40.35981195,9.396576517,37.16523719,27.98659176,45.51735164,32.29479415,46.94758495,50.55947849,45.03352953
6,5,50.05005,38.37584175,24.42050142,59.01102264,28.9906296,48.24482505,63.71048869,3.267843602,63.28264246,8.789840248,28.44249324,24.63230674,44.9360104,49.19362235,37.3584823,1.710707058,32.27368025,14.75526337,32.45469109,23.37076085,87.15647652,9.248889977,5.62857952,43.28875016,20.37708037,24.78296502,12.28414644,10.54087703,9.560028799,26.27904779,26.88588616,38.84870829,22.54849507,23.29946135,24.59030378,34.70763635,27.93731365,24.26275871,6.621894336,35.99667558,43.90002755
7,6,60.06006,29.64209808,38.05682689,40.50538207,40.15045238,23.79346142,56.70107035,8.803880033,35.80725967,11.31343891,25.528354,17.08382246,39.48652613,44.80632206,27.56478655,8.244498174,29.48286443,16.99263092,43.66969598,17.907596,67.6551702,18.58693454,3.748476069,20.65080975,18.02608015,29.28397562,14.31013605,5.484075319,7.073876971,20.05207844,13.78168919,35.30938511,16.930741,20.84986398,13.48594832,36.78755559,32.13059787,17.99049183,10.18612169,7.323051036,28.37140899
8,7,70.07007,24.02746621,-10.47178652,58.24276629,51.4742749,56.04086016,38.08204915,21.46361056,30.32048314,10.71161544,4.901461216,30.42221553,30.07307947,35.98131699,29.41234302,22.37825523,25.84718086,11.37393426,80.82373814,19.27773323,44.60841102,12.82673485,4.921705674,38.25774034,17.22712916,22.04007859,7.453033354,11.82460478,2.32045871,14.92871253,41.38878271,15.74968822,9.672072484,7.924293332,19.71889493,20.91256314,20.03444486,17.05164023,13.85417821,25.11771567,31.40326898
9,8,80.08008,24.87542162,15.17092605,28.54676495,38.73646202,35.33801855,47.73137233,12.73970049,36.50932373,11.34055724,7.485533067,7.15647243,42.80208516,44.50565267,21.81423671,24.83115769,17.44833302,11.01033439,24.42172813,14.90285288,53.24545629,6.73446296,3.543882091,14.14949529,14.9139831,20.44695798,11.1432734,0.356525327,8.166255934,16.74752865,15.00101986,20.03961207,16.01062365,16.43761075,20.01859652,23.77064434,27.31109904,16.61399169,21.88689382,16.66520342,31.75197152
