DataTable:,Function DataTable for [Raw Ci on CYm API F(t)],,,,,,
Date:, November 21 2024 13:23:20,,,,,,
Description:,Table of function data for [Raw Ci on CYm API F(t)],,,,,,
,,,,,,,
,,,,,,,
Legend:, Type, Name, Description, Units, Is Default Visible, Is Id Column, Is Editable
,,,,,,,
integer,id,ID of each record,,,,,
double,Cell ID: 106 (X): T (msec),(X): Cell ID: 106 Time (msec),,TRUE,FALSE,FALSE,
double,Cell ID: 106 (Y),Raw Ci on CYm API F(t) for Cell ID: 106 (Y),,TRUE,FALSE,FALSE,
double,Cell ID: 115 (X): T (msec),(X): Cell ID: 115 Time (msec),,TRUE,FALSE,FALSE,
double,Cell ID: 115 (Y),Raw Ci on CYm API F(t) for Cell ID: 115 (Y),,TRUE,FALSE,FALSE,
double,Cell ID: 117 (X): T (msec),(X): Cell ID: 117 Time (msec),,TRUE,FALSE,FALSE,
double,Cell ID: 117 (Y),Raw Ci on CYm API F(t) for Cell ID: 117 (Y),,TRUE,FALSE,FALSE,
,,,,,,,
,,,,,,,
id,Cell ID: 106 (X): T (msec),Cell ID: 106 (Y),Cell ID: 115 (X): T (msec),Cell ID: 115 (Y),Cell ID: 117 (X): T (msec),Cell ID: 117 (Y),
80,790.79,133.9746094,790.79,128.2745481,790.79,130.582996,
81,800.8,133.9425781,800.8,128.4831461,800.8,129.7408907,
82,810.81,133.728125,810.81,128.5718124,810.81,130.611336,
83,820.82,133.7216797,820.82,128.5232047,820.82,129.9716599,
84,830.83,133.4435547,830.83,128.5339521,830.83,130.4210526,
85,840.84,133.7283203,840.84,128.9914509,840.84,130.8137652,
86,850.85,133.6798828,850.85,128.8715193,850.85,130.1983806,
87,860.86,133.2777344,860.86,128.5828041,860.86,129.9554656,
88,870.87,133.3947266,870.87,128.6763556,870.87,129.1214575,
89,880.88,133.1810547,880.88,128.5100147,880.88,130.0607287,
90,890.89,133.5625,890.89,128.3248657,890.89,129.2712551,
91,900.9,133.6296875,900.9,128.7117733,900.9,129.2995951,
92,910.91,133.6300781,910.91,128.7034685,910.91,130.8097166,
93,920.92,133.5785156,920.92,128.4926722,920.92,130.5101215,
94,930.93,133.8267578,930.93,128.803615,930.93,130.7449393,
95,940.94,133.8400391,940.94,129.0925745,940.94,130.3441296,
96,950.95,133.3900391,950.95,128.9037616,950.95,130.9352227,
97,960.96,133.3146484,960.96,128.5671715,960.96,129.854251,
98,970.97,133.9238281,970.97,128.5674157,970.97,129.8663968,
99,980.98,134.5322266,980.98,128.555447,980.98,129.5425101,
100,990.99,134.3976563,990.99,128.5483635,990.99,128.7489879,
101,1001,134.5464844,1001,128.3478261,1001,129.9878543,
102,1011.01,134.1673828,1011.01,128.2518319,1011.01,130.8987854,
103,1021.02,134.1158203,1021.02,128.3866634,1021.02,130.6842105,
104,1031.03,134.0253906,1031.03,128.1912555,1031.03,130.1012146,
105,1041.04,133.9121094,1041.04,128.2247191,1041.04,129.0080972,
106,1051.05,134.0554688,1051.05,128.6064973,1051.05,128.9595142,
107,1061.06,134.1492188,1061.06,128.173913,1061.06,129.3967611,
108,1071.07,133.6412109,1071.07,127.8099658,1071.07,128.7125506,
109,1081.08,133.6207031,1081.08,127.6497313,1081.08,129.0080972,
110,1091.09,133.7181641,1091.09,127.7972643,1091.09,129.6153846,
111,1101.1,133.7134766,1101.1,127.721788,1101.1,130.1619433,
112,1111.11,133.3029297,1111.11,127.9618955,1111.11,130.2469636,
113,1121.12,133.4572266,1121.12,128.1573034,1121.12,129.8502024,
114,1131.13,133.7447266,1131.13,128.2667318,1131.13,130.8218623,
115,1141.14,133.4509766,1141.14,128.6941866,1141.14,129.562753,
116,1151.15,133.7847656,1151.15,128.9726429,1151.15,128.7165992,
117,1161.16,133.7957031,1161.16,128.857108,1161.16,129.7975709,
118,1171.17,134.0007813,1171.17,128.6856375,1171.17,129.437247,
119,1181.18,133.9046875,1181.18,128.5906204,1181.18,130.1133603,
120,1191.19,133.5857422,1191.19,128.7723498,1191.19,128.7246964,
121,1201.2,133.6910156,1201.2,128.6722032,1201.2,129.3724696,
122,1211.21,133.8628906,1211.21,128.7545188,1211.21,129.0526316,
123,1221.22,133.5646484,1221.22,128.6880801,1221.22,129.0728745,
124,1231.23,133.6123047,1231.23,128.3793356,1231.23,128.4210526,
125,1241.24,133.4099609,1241.24,128.1172447,1241.24,129.0364372,
126,1251.25,133.4480469,1251.25,128.4831461,1251.25,129.854251,
127,1261.26,133.2402344,1261.26,127.8996092,1261.26,128.582996,
128,1271.27,133.4791016,1271.27,128.1130923,1271.27,128.6437247,
129,1281.28,133.4480469,1281.28,128.3878847,1281.28,129.6720648,
130,1291.29,133.6552734,1291.29,128.3732291,1291.29,129.3157895,
